Filename,Subject,Gender,Item,Semantics,Picture,TargetMax,TargetMin,TargetPitch,TargetDifference,Duration,TargetIntensity,Syllables,Frequency,Semantics2,Freq-logwf,Freq-logcd,Freq-subtlcd,Freq-subtlwf,Filler
S1T13Wchatting_V__S_,1,F,chatting,V,S,238.7170438,219.5152957,230.5763166,19.20174807,0.782200836,39.88418561,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S10T13Wchatting_V__S_,10,M,chatting,V,S,124.525841,109.8761902,118.4542855,14.6496508,0.514090107,45.54934669,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S11T13Wchatting_V__M_,11,M,chatting,V,M,146.1277882,101.5931653,120.4793909,44.53462293,0.499235194,42.85569959,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S12T13Wchatting_V__T_,12,F,chatting,V,T,308.4965715,258.6485745,275.5518434,49.84799697,0.604318643,47.24360068,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S13T13Wchatting_V__S_,13,F,chatting,V,S,431.7008451,199.3949186,229.8803432,232.3059265,0.470450363,51.51124717,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S14T13Wchatting_V__M_,14,F,chatting,V,M,208.9036996,101.6734513,149.9860552,107.2302483,0.514733291,49.30715545,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S15T13Wchatting_V__T_,15,F,chatting,V,T,228.0683471,175.6000363,197.4683272,52.46831085,0.566301797,58.06670975,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S16T13Wchatting_V__S_,16,F,chatting,V,S,238.053138,163.1038388,181.4965082,74.94929911,0.537463704,62.25573843,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S17T13Wchatting_V__M_,17,M,chatting,V,M,134.3131505,104.62479,112.3276648,29.68836046,0.628795411,64.50641846,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S18T13Wchatting_V__T_,18,F,chatting,V,T,244.5288054,169.6964356,189.7020813,74.8323698,0.499108665,63.1676629,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S19T13Wchatting_V__S_,19,F,chatting,V,S,279.5278619,179.0681501,221.2066563,100.4597118,0.7567474,63.35803711,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S2T13Wchatting_V__M_,2,F,chatting,V,M,245.6244059,190.609719,212.6306948,55.01468696,0.498858164,49.11813106,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S20T13Wchatting_V__M_,20,M,chatting,V,M,112.8567067,90.87887516,102.8940193,21.97783157,0.504754537,65.46039951,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S21T13Wchatting_V__T_,21,F,chatting,V,T,286.9412625,218.3214767,247.0529929,68.61978576,0.575209387,61.23949448,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S23T13Wchatting_V__M_,23,F,chatting,V,M,293.7264491,107.5855238,142.523,186.1409253,0.500043702,64.24949912,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S24T13Wchatting_V__T_,24,F,chatting,V,T,223.3604741,166.3292606,186.8408648,57.03121346,0.902103738,54.80267167,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S25T13Wchatting_V__S_,25,F,chatting,V,S,272.6863311,220.8546037,235.3713571,51.83172736,0.647740306,57.76171472,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S26T13Wchatting_V__M_,26,F,chatting,V,M,277.6381272,201.1004795,233.9445262,76.53764775,0.645283375,50.94968919,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S27T13Wchatting_V__T_,27,M,chatting,V,T,136.2499798,106.0177493,118.8046291,30.2322305,0.596965432,62.84365323,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S28T13Wchatting_V__S_,28,F,chatting,V,S,302.9121227,239.1129743,258.2129179,63.79914837,0.550513517,55.78709698,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S29T13Wchatting_V__M_,29,F,chatting,V,M,277.1005936,179.1877192,215.9468207,97.91287437,0.548309676,63.36021705,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S3T13Wchatting_V__T_,3,F,chatting,V,T,242.4863318,214.3918376,226.2709752,28.0944942,0.634742523,41.05960562,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S30T13Wchatting_V__T_,30,F,chatting,V,T,271.1542105,221.6580042,240.9644633,49.4962063,0.477728526,60.71310503,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S31T13Wchatting_V__S_,31,M,chatting,V,S,188.831126,157.6390293,174.1533202,31.19209672,0.526601708,65.53040313,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S32T13Wchatting_V__M_,32,F,chatting,V,M,253.1482816,220.6255668,225.2301177,32.52271476,0.560988545,59.23932438,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S33T13Wchatting_V__T_,33,F,chatting,V,T,217.7238783,165.7494105,184.1877349,51.97446776,0.499297228,57.35640629,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S34T13Wchatting_V__S_,34,F,chatting,V,S,271.6802414,217.0486199,252.5554682,54.63162151,0.484664493,57.99290328,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S35T13Wchatting_V__M_,35,F,chatting,V,M,285.6896894,192.7381841,226.7043847,92.9515053,0.56344083,59.8294975,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S36T13Wchatting_V__T_,36,F,chatting,V,T,264.0685087,219.0355087,252.2881476,45.03299995,0.617251676,54.45857847,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
S37T13Wchatting_V__S_,37,M,chatting,V,S,108.0047977,104.4317551,106.4496281,3.573042573,0.561515843,48.43667168,2,0.6021,LowVocal,2.2355,2.1703,1.75,3.35,C
