Word,Condition,Condition2,Experiment
chatting,V,L,1
discussing,V,L,1
gossiping,V,L,1
mumbling,V,L,1
talking,V,L,1
whispering,V,L,1
cheering,V,H,1
hollering,V,H,1
screaming,V,H,1
shouting,V,H,1
singing,V,H,1
yelling,V,H,1
dancing,P,NA,1
hopping,P,NA,1
jogging,P,NA,1
kicking,P,NA,1
marching,P,NA,1
punting,P,NA,1
running,P,NA,1
skipping,P,NA,1
sprinting,P,NA,1
stepping,P,NA,1
stomping,P,NA,1
walking,P,NA,1
articulating,V,L,2
babbling,V,L,2
bantering,V,L,2
commenting,V,L,2
conversing,V,L,2
humming,V,L,2
mentioning,V,L,2
murmuring,V,L,2
muttering,V,L,2
reciting,V,L,2
remarking,V,L,2
saying,V,L,2
speaking,V,L,2
telling,V,L,2
uttering,V,L,2
arguing,V,H,2
debating,V,H,2
lecturing,V,H,2
galloping,P,NA,2
hiking,P,NA,2
pacing,P,NA,2
parading,P,NA,2
striding,P,NA,2
strolling,P,NA,2
strutting,P,NA,2
trotting,P,NA,2
biting,M,NA,2
chewing,M,NA,2
coughing,M,NA,2
eating,M,NA,2
frowning,M,NA,2
grinning,M,NA,2
licking,M,NA,2
puckering,M,NA,2
smiling,M,NA,2
smirking,M,NA,2
tasting,M,NA,2
whistling,M,NA,2
