Filename,Segmentlabel,TargetMax,TargetMin,TargetPitch,TargetDifference,Duration,TargetIntensity,Gender,Condition
S107T100Wwhispering_V_,whispering,240.117423,211.1674313,230.0309811,28.94999171,0.749879285,51.28737353,f,V
S107T101Wyelling_V_,yelling,235.4290599,193.4438477,214.190763,41.9852122,0.621717057,57.98238685,f,V
S107T10Wdancing_P_,dancing,247.9447887,200.5258659,226.0447164,47.41892272,0.680806735,54.07173877,f,P
S107T11Wgalloping_P_,galloping,273.7066743,184.4509893,210.7529925,89.25568499,0.802078609,49.86535243,f,P
S107T12Whiking_P_,hiking,234.2366865,203.1659649,218.9707138,31.07072161,0.735651927,49.95836636,f,P
S107T13Whopping_P_,hopping,225.9590748,199.9683635,209.7045152,25.9907113,0.684489796,49.27440537,f,P
S107T14Wjogging_P_,jogging,244.8680554,118.2702324,203.1085889,126.5978229,0.783038549,55.05374467,f,P
S107T15Wkicking_P_,kicking,242.4671349,212.9824895,228.9138914,29.48464533,0.607533204,52.62679829,f,P
S107T16Wmarching_P_,marching,232.433,190.8308407,210.3802037,41.60215924,0.685650038,51.46338656,f,P
S107T17Wpacing_P_,pacing,268.1235984,192.4797358,218.9240915,75.64386262,0.778839758,52.27415734,f,P
S107T18Wparading_P_,parading,238.546754,198.2485008,212.8146631,40.29825322,0.691194255,55.28310897,f,P
S107T19Wpunting_P_,hunting,251.1182893,187.9998426,225.3968451,63.11844662,0.619698737,53.50665422,f,P
S107T1Wgazing_F_,gazing,235.8081177,186.1217767,217.1217831,49.68634105,0.641452867,55.3421127,f,F
S107T20Wrunning_P_,running,229.5750588,192.6965928,209.232633,36.87846607,0.541292517,52.98775366,f,P
S107T21Wskipping_P_,skipping,276.2523296,229.9878259,245.8552118,46.26450362,0.686222222,53.73746046,f,P
S107T22Wsprinting_P_,sprinting,256.0025736,205.119853,230.245433,50.88272058,0.895357143,50.08845295,f,P
S107T23Wstepping_P_,stepping,240.765347,200.1497392,219.6202431,40.61560773,0.74883058,51.52655337,f,P
S107T24Wstomping_P_,stomping,235.0980526,191.7149111,215.9678459,43.38314145,0.818507181,49.27576516,f,P
S107T25Wstriding_P_,striding,251.0766878,193.4128951,225.855156,57.66379266,0.878859734,52.80042491,f,P
S107T26Wstrolling_P_,strolling,220.8327674,198.0538939,206.5916326,22.7788735,0.947256236,50.56026115,f,P
S107T27Wstrutting_P_,strutting,230.3824214,204.7834899,218.0449354,25.59893146,0.745194633,53.51440907,f,P
S107T28Wtrotting_P_,trotting,236.5510542,196.6517187,213.4610348,39.89933555,0.649656625,54.37867144,f,P
S107T29Wwalking_P_,walking,235.6116082,186.2850924,207.4214878,49.32651573,0.604429327,53.88651614,f,P
S107T2Winspecting_F_,inspecting,284.2146193,173.4885938,208.9709772,110.7260255,0.90856576,50.55163892,f,F
S107T30Wclapping_F_,clapping,242.3842704,195.5224287,216.8226848,46.8618417,0.670646259,47.75856782,f,F
S107T31Wgrasping_F_,grasping,238.4080983,188.9235217,211.5019125,49.48457663,0.78175737,50.22300105,f,F
S107T32Wpointing_F_,pointing,273.0475955,212.3379911,242.7052667,60.70960439,0.782426304,49.57405796,f,F
S107T33Wpunching_F_,punching,330.9744196,207.0781434,241.3921976,123.8962762,0.791606198,51.99307241,f,F
S107T34Wscratching_F_,scratching,233.6018376,207.3455228,222.4648516,26.25631479,0.757484505,51.31352873,f,F
S107T35Wsnapping_F_,snapping,220.4784053,198.3021601,208.0515434,22.17624526,0.826564626,51.3789648,f,F
S107T36Wtyping_F_,typing,231.7028,200.9620357,212.4778934,30.74076434,0.641751701,48.22962973,f,F
S107T37Wwaving_F_,waving,250.797717,201.3145839,227.5273067,49.48313312,0.65515386,54.16754435,f,F
S107T38Wtasting_F_,tasting,245.5257348,210.4028092,232.0208141,35.12292557,0.696904762,52.39617359,f,F
S107T39Wbiting_F_,biting,240.8953783,188.5135942,213.0271569,52.38178414,0.495643019,55.02407802,f,F
