 Filename	 Segmentlabel	TargetMax	TargetMin	TargetPitch	TargetDifference Duration	TargetIntensity   
 S1-CT_f_1-CD_18-N48 o --undefined-- --undefined-- --undefined-- --undefined-- 0.8921844802180661 42.43805878676398 
 S1-CT_f_1-CD_18-N48 co 400.4733720089375 235.6473913531725 285.69141196900813 164.82598065576497 0.4526514207960506 48.866432181560455 
 S1-CT_f_1-CD_18-N48 p 280.4461584110534 179.72195763179283 214.01505904470932 100.72420077926054 0.5749024626688728 49.220663541036004 
 S1-CT_f_1-CD_18-N48 c 407.3431301136366 173.40464051354206 189.36915920941462 233.93848960009456 0.29068102045055366 49.78090182465759 
 S1-CT_f_1-CD_18-N48 v 435.7846637348229 208.04250654757172 336.6795375170109 227.7421571872512 0.9703713998464818 41.15332926715058 
 S1-CT_f_10-CD_23-N23 o --undefined-- --undefined-- --undefined-- --undefined-- 1.2053249350448436 42.312849735857 
 S1-CT_f_10-CD_23-N23 co 303.29480711765297 212.35496471705034 271.6291318270224 90.93984240060263 0.392899988620965 53.667069672581576 
 S1-CT_f_10-CD_23-N23 p 304.67529563228504 161.57772845812735 200.57789667588548 143.0975671741577 0.6443559813383828 51.1601404542803 
 S1-CT_f_10-CD_23-N23 c 182.39419926436184 167.813172465631 173.85501888263778 14.581026798730846 0.2965691291792556 54.722938361906905 
 S1-CT_f_10-CD_23-N23 v 202.7654879423282 172.94674301269455 183.04009631040967 29.818744929633652 0.4337853765696509 50.26954787985199 
 S1-CT_f_10-CD_23-N23 pv 225.59292599461907 159.12859205768382 182.32676760020996 66.46433393693525 1.3690663041772515 43.375715258757104 
 S1-CT_f_11-CD_4-N15 o --undefined-- --undefined-- --undefined-- --undefined-- 0.8957206454532243 36.92456869000972 
 S1-CT_f_11-CD_4-N15 co 278.86026505433364 207.47915328684743 243.5049811515709 71.3811117674862 0.6316460739047478 49.113432711769725 
 S1-CT_f_11-CD_4-N15 p 404.80331192015336 164.32881347570273 207.45161765208601 240.47449844445063 0.7388548604393583 46.016899589665314 
 S1-CT_f_11-CD_4-N15 c 191.66083538039692 175.35250184950263 183.58543013289372 16.308333530894288 0.38405821953530994 46.22829865684461 
 S1-CT_f_11-CD_4-N15 v 224.8158053547452 168.17295465401278 193.02495878116616 56.642850700732424 0.5413392046783416 45.92466091662651 
 S1-CT_f_11-CD_4-N15 pv 202.5061260406827 174.6205534611237 184.25284678541718 27.885572579558982 1.4191865636161927 43.549177710736075 
 S1-CT_f_12-CD_25-N12 o --undefined-- --undefined-- --undefined-- --undefined-- 1.3649709630591496 31.581459197326584 
 S1-CT_f_12-CD_25-N12 co 299.04153554896413 217.75387332148176 252.0363087199981 81.28766222748237 0.3460158165117997 46.55094711738432 
 S1-CT_f_12-CD_25-N12 p 287.4102965753971 164.3640800819135 209.32002670160972 123.04621649348363 0.6969050952279909 46.40744304490435 
 S1-CT_f_12-CD_25-N12 c 188.21349534661783 164.9195510266492 176.91121987401883 23.29394431996863 0.4239912117820648 48.372252784040235 
 S1-CT_f_12-CD_25-N12 v 224.0919106386128 174.26419873961672 196.47885296749757 49.827711898996085 0.43373813619084745 50.15563142103013 
 S1-CT_f_12-CD_25-N12 pv 218.7898914748496 162.23596676168472 182.49871809892417 56.55392471316489 1.2476063243242357 51.79807487386822 
 S1-CT_f_13-CD_7-N55 o --undefined-- --undefined-- --undefined-- --undefined-- 0.6451051307392163 36.17995307192046 
 S1-CT_f_13-CD_7-N55 co 426.15248303078187 274.4373973454513 309.3469160374456 151.71508568533056 0.5446455351145753 42.7643950888241 
 S1-CT_f_13-CD_7-N55 p 297.4240664792499 165.03272304740216 208.66418036195472 132.39134343184776 0.8155833165716351 48.286791150883744 
 S1-CT_f_13-CD_7-N55 c 230.0293524709116 176.6825440575792 188.23768988317224 53.34680841333238 0.3011613296294029 43.055103882380045 
 S1-CT_f_13-CD_7-N55 v 183.3988458275435 160.43719330288954 166.4452842071658 22.96165252465397 0.6072057719283488 49.84293650254491 
 S1-CT_f_13-CD_7-N55 pv 443.33615663507635 162.5741159851732 236.31693633206396 280.76204064990316 0.9950071877232185 45.5886756955743 
 S1-CT_f_14-CD_3-N13 o --undefined-- --undefined-- --undefined-- --undefined-- 0.5832142529409192 30.362649306889892 
 S1-CT_f_14-CD_3-N13 co 299.24495922364304 230.7222561890306 265.84328369533245 68.52270303461245 0.609373522838891 43.09443258514988 
 S1-CT_f_14-CD_3-N13 p 301.5178512193324 175.6241613668253 217.3654961202287 125.8936898525071 0.6083284733089012 48.390796258846734 
 S1-CT_f_14-CD_3-N13 c 202.70105035760648 168.99132054038424 177.9772528176098 33.70972981722224 0.3444164199088795 48.40008797447827 
 S1-CT_f_14-CD_3-N13 v 203.38648139213805 174.1144128195469 186.79764647663737 29.272068572591138 0.5126992919428814 39.68561001094094 
 S1-CT_f_15-CD_1-N29 o --undefined-- --undefined-- --undefined-- --undefined-- 0.7660674280275204 25.05497518662395 
 S1-CT_f_15-CD_1-N29 co 397.15629374832105 228.34167898818197 273.6171038784773 168.81461476013908 0.8203962238182023 34.785910730369295 
 S1-CT_f_15-CD_1-N29 p 267.27130293346494 168.8463012262414 204.76094969408413 98.42500170722354 0.5357614631129122 48.03552128845241 
 S1-CT_f_15-CD_1-N29 c 180.0981755486078 167.15729281742452 173.4157293840409 12.94088273118328 0.29016239306318115 43.699437189257985 
 S1-CT_f_15-CD_1-N29 v 216.08768338289127 91.660340458792 191.88941315496854 124.42734292409926 0.6647685156779866 43.151183772646 
 S1-CT_f_2-CD_16-N68 o --undefined-- --undefined-- --undefined-- --undefined-- 0.7204028340806393 44.89514395140562 
 S1-CT_f_2-CD_16-N68 co 314.48695039525165 232.52432730825447 271.1329326171094 81.96262308699718 0.3839149306190214 51.30664414870141 
 S1-CT_f_2-CD_16-N68 p 448.0232614805272 173.28064234801826 236.1030767336493 274.74261913250893 0.5840331789715911 50.62007846973323 
 S1-CT_f_2-CD_16-N68 c 188.81505428703912 170.4463598231582 182.37821427306855 18.368694463880928 0.2679450168807447 46.03410021133026 
 S1-CT_f_2-CD_16-N68 v 214.87930109927737 152.07798465944325 178.36036472935413 62.801316439834125 0.6562049713179956 46.876587969736676 
 S1-CT_f_3-CD_20-N14 o --undefined-- --undefined-- --undefined-- --undefined-- 0.6193312457872431 29.211357234689704 
 S1-CT_f_3-CD_20-N14 co 436.1340085707799 209.5992455099713 275.6279115296336 226.5347630608086 0.5604481535050279 48.61000622401903 
 S1-CT_f_3-CD_20-N14 p 267.63901634878425 167.78628607781832 209.31905421730627 99.85273027096594 0.49709314484793743 47.97500455885805 
 S1-CT_f_3-CD_20-N14 c 436.5265460122213 169.1520469979974 207.48935353648443 267.3744990142239 0.3021546566722759 50.02411386626398 
 S1-CT_f_3-CD_20-N14 v 225.93221381973362 167.4272160154419 177.25509943124206 58.50499780429172 0.4191177495776728 44.87397828465773 
 S1-CT_f_3-CD_20-N14 pv 179.66844428321315 175.46818452860572 178.60256404069472 4.20025975460743 0.706652019636774 40.83946893369796 
 S1-CT_f_5-CD_6-N75 o --undefined-- --undefined-- --undefined-- --undefined-- 0.6664817636749756 32.02105864692508 
 S1-CT_f_5-CD_6-N75 co 358.51322225425133 225.31377233636638 277.8008646263898 133.19944991788495 0.7686705239351623 40.33712315263043 
 S1-CT_f_5-CD_6-N75 p 308.15649356094747 163.49302330901548 207.23049566740238 144.66347025193198 0.877830835026546 47.95071587410772 
 S1-CT_f_5-CD_6-N75 c 220.2522237211 177.38366629346118 189.66844389157933 42.86855742763882 0.23651400736466544 51.78804948626247 
 S1-CT_f_5-CD_6-N75 v 215.41369783284978 150.94015026569699 172.62387821758733 64.47354756715279 0.6774251566893774 45.75830093372566 
 S1-CT_f_6-CD_10-N9 o --undefined-- --undefined-- --undefined-- --undefined-- 1.7160970181619832 34.614301937440636 
 S1-CT_f_6-CD_10-N9 co 299.44344005690044 225.20610703133835 265.06228978232883 74.2373330255621 0.5340928577396247 49.335170349094085 
 S1-CT_f_6-CD_10-N9 p 302.77163786868834 160.10625945361778 201.51799876134268 142.66537841507056 0.6268801762452378 49.81323039810029 
 S1-CT_f_6-CD_10-N9 c 447.66654386700657 174.02554456142974 226.82867775330718 273.6409993055768 0.5589870163630817 49.34717864055776 
 S1-CT_f_6-CD_10-N9 v 436.21813364170305 162.17920942030764 205.38497604721124 274.0389242213954 0.7128781787626348 46.91972280807652 
 S1-CT_f_7-CD_14-N36 o --undefined-- --undefined-- --undefined-- --undefined-- 0.6997993486435107 23.586643434405904 
 S1-CT_f_7-CD_14-N36 co 422.06405502887964 256.2462133115891 310.61720428141416 165.81784171729055 0.5064376084558636 46.96343538359223 
 S1-CT_f_7-CD_14-N36 p 434.06477536683195 187.13383397640325 236.05096123795104 246.9309413904287 0.5718852410315802 48.74833765306731 
 S1-CT_f_7-CD_14-N36 c 201.16673154751268 178.17214630708676 186.99942746616748 22.99458524042592 0.3505191249900226 41.852260881854576 
 S1-CT_f_7-CD_14-N36 v 238.39928574447077 160.62944590892636 194.28160270558038 77.76983983554442 0.6034617267327103 43.35986377929448 
 S1-CT_f_8-CD_9-N1 o 416.8425793112749 415.8022263938725 416.3224028525737 1.0403529174024015 0.7940296242745518 39.328996331538534 
 S1-CT_f_8-CD_9-N1 co 448.3828926057112 253.60945675077377 302.65342680382855 194.77343585493745 0.4291404257702648 48.224678760968715 
 S1-CT_f_8-CD_9-N1 p 298.07433034272754 163.0997197469243 205.16067194629997 134.97461059580323 0.5232603064585013 49.82448630059351 
 S1-CT_f_8-CD_9-N1 c 185.21883327327072 169.8443036598155 177.86897265802648 15.374529613455223 0.19183796810918796 47.862961508989365 
 S1-CT_f_8-CD_9-N1 v 372.5257634657935 152.10621511843937 197.03201379907654 220.41954834735412 0.3863334097329172 43.55834596037505 
 S1-CT_f_8-CD_9-N1 pv 280.31720843421493 150.21142204401676 234.00302737575967 130.10578639019818 0.6043450440433955 43.390806488232386 
