words,FREQcount,CDcount,FREQlow,CDlow,SUBTLwf,Lg10WF,SUBTLcd,Lg10CD,Length,syllables,filler_activity
arguing,544,461,512,439,10.67,2.7364,5.5,2.6646,7,3,other
articulating,3,3,3,3,0.06,0.6021,0.04,0.6021,12,5,other
babbling,158,130,150,127,3.1,2.2014,1.55,2.1173,8,2,other
bantering,3,3,3,3,0.06,0.6021,0.04,0.6021,9,3,other
biting,250,213,242,209,4.9,2.3997,2.54,2.3304,6,2,other
bowling,545,274,491,252,10.69,2.7372,3.27,2.4393,7,2,high
camping,315,185,293,172,6.18,2.4997,2.21,2.2695,7,2,high
canoeing,9,6,9,6,0.18,1,0.07,0.8451,8,3,high
chatting,171,147,162,139,3.35,2.2355,1.75,2.1703,8,2,other
cheering,690,321,529,267,13.53,2.8395,3.83,2.5079,8,2,other
chewing,281,212,239,192,5.51,2.4502,2.53,2.3284,7,2,other
clapping,104,79,92,70,2.04,2.0212,0.94,1.9031,8,2,high
commenting,22,22,20,20,0.43,1.3617,0.26,1.3617,10,3,other
conversing,25,22,16,14,0.49,1.415,0.26,1.3617,10,3,other
coughing,251,165,207,139,4.92,2.4014,1.97,2.2201,8,2,other
dancing,2774,1393,2503,1317,54.39,3.4433,16.61,3.1443,7,2,other
debating,83,75,81,74,1.63,1.9243,0.89,1.8808,8,3,other
discussing,481,418,471,410,9.43,2.683,4.98,2.6222,10,3,other
dreaming,939,668,887,645,18.41,2.9731,7.96,2.8254,8,2,low
eating,3102,2105,2954,2040,60.82,3.4918,25.1,3.3235,6,2,other
emailing,2,2,2,2,0.04,0.4771,0.02,0.4771,8,3,low
filming,198,157,190,151,3.88,2.2989,1.87,2.1987,7,2,low
frowning,25,24,25,24,0.49,1.415,0.29,1.3979,8,2,other
galloping,53,44,41,34,1.04,1.7324,0.52,1.6532,9,3,other
gambling,846,449,729,411,16.59,2.9279,5.35,2.6532,8,2,low
gazing,41,36,32,29,0.8,1.6232,0.43,1.5682,6,2,low
gossiping,38,37,38,37,0.75,1.5911,0.44,1.5798,9,3,other
grasping,38,38,36,36,0.75,1.5911,0.45,1.5911,8,2,low
grinning,74,67,69,64,1.45,1.8751,0.8,1.8325,8,2,other
hiking,135,97,122,88,2.65,2.1335,1.16,1.9912,6,2,other
hollering,89,79,89,79,1.75,1.9542,0.94,1.9031,9,3,other
hopping,121,108,112,103,2.37,2.0864,1.29,2.0374,7,2,other
humming,251,174,191,144,4.92,2.4014,2.07,2.243,7,2,other
inspecting,35,29,34,28,0.69,1.5563,0.35,1.4771,10,3,low
interviewing,153,138,152,137,3,2.1875,1.65,2.143,12,4,low
jogging,131,96,115,89,2.57,2.1206,1.14,1.9868,7,2,other
joking,949,749,922,736,18.61,2.9777,8.93,2.8751,6,2,low
journaling,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,low
juggling,91,70,80,65,1.78,1.9638,0.83,1.8513,8,3,high
kicking,795,640,742,614,15.59,2.9009,7.63,2.8069,7,2,other
laughing,2667,1515,2396,1425,52.29,3.4262,18.06,3.1807,8,2,low
lecturing,72,66,70,64,1.41,1.8633,0.79,1.8261,9,3,other
licking,175,139,167,135,3.43,2.2455,1.66,2.1461,7,2,other
looking,22066,6841,20932,6743,432.67,4.3437,81.56,3.8352,7,2,low
marching,334,238,298,215,6.55,2.525,2.84,2.3784,8,2,other
mentioning,146,139,143,136,2.86,2.1673,1.66,2.1461,10,3,other
mumbling,119,103,98,87,2.33,2.0792,1.23,2.017,8,2,other
murmuring,88,61,54,39,1.73,1.9494,0.73,1.7924,9,3,other
muttering,88,75,72,60,1.73,1.9494,0.89,1.8808,9,3,other
napping,64,50,61,48,1.25,1.8129,0.6,1.7076,7,2,low
pacing,64,56,61,53,1.25,1.8129,0.67,1.7559,6,2,other
painting,1489,639,1438,622,29.2,3.1732,7.62,2.8062,8,2,low
parading,56,51,51,47,1.1,1.7559,0.61,1.716,8,3,other
peering,17,16,16,15,0.33,1.2553,0.19,1.2304,7,2,low
photographing,30,27,27,24,0.59,1.4914,0.32,1.4472,13,4,low
playing,7515,3707,7144,3584,147.35,3.876,44.19,3.5691,7,2,low
pointing,425,363,419,359,8.33,2.6294,4.33,2.5611,8,2,low
puckering,4,4,4,4,0.08,0.699,0.05,0.699,9,3,other
punching,207,174,197,164,4.06,2.3181,2.07,2.243,8,2,high
punting,6,6,5,5,0.12,0.8451,0.07,0.8451,7,2,other
reading,3133,1988,2974,1924,61.43,3.4961,23.7,3.2986,7,2,low
reciting,30,30,28,28,0.59,1.4914,0.36,1.4914,8,3,other
relaxing,184,161,179,158,3.61,2.2672,1.92,2.2095,8,3,low
remarking,10,9,10,9,0.2,1.0414,0.11,1,9,3,other
running,8054,4268,7692,4180,157.92,3.9061,50.88,3.6303,7,2,other
saying,14874,5819,14733,5803,291.65,4.1725,69.37,3.7649,6,2,other
scratching,189,163,172,150,3.71,2.2788,1.94,2.2148,10,2,low
screaming,1945,1201,1719,1128,38.14,3.2891,14.32,3.0799,9,2,other
seeing,5591,3430,5228,3268,109.63,3.7476,40.89,3.5354,6,2,low
shouting,744,462,564,381,14.59,2.8722,5.51,2.6656,8,2,other
singing,2281,1194,2033,1097,44.73,3.3583,14.23,3.0774,7,2,other
skiing,212,125,196,122,4.16,2.3284,1.49,2.1004,6,2,high
skipping,165,130,144,121,3.24,2.2201,1.55,2.1173,8,2,other
smiling,877,676,828,645,17.2,2.9435,8.06,2.8306,7,2,other
smirking,19,19,18,18,0.37,1.301,0.23,1.301,8,2,other
snapping,86,77,75,68,1.69,1.9395,0.92,1.8921,8,2,low
sneezing,56,44,53,43,1.1,1.7559,0.52,1.6532,8,2,low
speaking,3565,2326,2507,1775,69.9,3.5522,27.73,3.3668,8,2,other
sprinting,9,9,9,9,0.18,1,0.11,1,9,2,other
staring,1196,930,1158,905,23.45,3.0781,11.09,2.9689,7,2,low
stepping,355,315,328,295,6.96,2.5514,3.76,2.4997,8,2,other
stomping,56,54,51,49,1.1,1.7559,0.64,1.7404,8,2,other
striding,14,14,14,14,0.27,1.1761,0.17,1.1761,8,2,other
strolling,63,59,58,54,1.24,1.8062,0.7,1.7782,9,2,other
strutting,36,34,29,28,0.71,1.5682,0.41,1.5441,9,2,other
studying,987,706,935,679,19.35,2.9948,8.42,2.8494,8,3,low
talking,25385,6952,24944,6924,497.75,4.4046,82.88,3.8422,7,2,other
tasting,94,69,90,68,1.84,1.9777,0.82,1.8451,7,2,other
telling,9730,4837,9559,4803,190.78,3.9882,57.67,3.6847,7,2,other
traveling,724,566,665,524,14.2,2.8603,6.75,2.7536,9,3,high
trotting,16,16,15,15,0.31,1.2304,0.19,1.2304,8,2,other
typing,165,132,149,123,3.24,2.2201,1.57,2.1239,6,2,low
uttering,6,6,6,6,0.12,0.8451,0.07,0.8451,8,3,other
viewing,109,92,104,88,2.14,2.0414,1.1,1.9685,7,2,low
voting,241,143,229,134,4.73,2.3838,1.7,2.1584,6,2,low
walking,3826,2470,3559,2368,75.02,3.5829,29.45,3.3929,7,2,other
watching,5081,3138,4818,3033,99.63,3.706,37.41,3.4968,8,2,low
waving,266,231,253,221,5.22,2.4265,2.75,2.3655,6,2,high
whispering,413,274,299,232,8.1,2.617,3.27,2.4393,10,3,other
whistling,261,179,197,142,5.12,2.4183,2.13,2.2553,9,2,other
yelling,1087,766,1012,724,21.31,3.0366,9.13,2.8848,7,2,other
