Filename	 Segmentlabel	TargetMax	TargetMin	TargetPitch	TargetDifference Duration	TargetIntensity   
S13-CT_f_1-CD_8-N68 o --undefined-- --undefined-- --undefined-- --undefined-- 0.7777277648765718 28.676955106997834 
S13-CT_f_1-CD_8-N68 co 134.55697326822158 116.83927491586714 122.11040630765476 17.717698352354446 0.3114522992208876 43.875411743877 
S13-CT_f_1-CD_8-N68 p 131.05482819736613 106.56495809496853 115.23907104974285 24.489870102397603 0.7669512868314361 45.22575931726346 
S13-CT_f_1-CD_8-N68 v 118.87038073570245 106.90219317522183 114.90650971370918 11.96818756048063 0.7513786718703916 40.72511239120756 
S13-CT_f_10-CD_1-N43 o --undefined-- --undefined-- --undefined-- --undefined-- 0.7388460412186028 25.72435970944999 
S13-CT_f_10-CD_1-N43 co 112.01253017632914 103.7813127751147 106.6315568628962 8.231217401214437 0.3181243917568607 42.48511284883172 
S13-CT_f_10-CD_1-N43 p 154.39544356538855 97.00722467240153 105.89202693678277 57.38821889298701 0.9773701192530055 41.75402230984015 
S13-CT_f_10-CD_1-N43 v 304.43530641292205 103.15680819757763 137.82104080218843 201.27849821534443 0.32579003975100207 44.08849637296257 
S13-CT_f_10-CD_1-N43 pv 103.97766137238531 99.66201434964596 101.85676608379708 4.3156470227393555 0.4676045276426142 43.04561498342659 
S13-CT_f_12-CD_25-N35 o --undefined-- --undefined-- --undefined-- --undefined-- 0.6021689542915056 33.740388984969464 
S13-CT_f_12-CD_25-N35 co 124.99448618491228 119.13507835457271 121.2686079308476 5.859407830339563 0.5572526407192031 47.313092173998186 
S13-CT_f_12-CD_25-N35 p 124.15925805508013 109.82160458618796 118.90682340384993 14.33765346889217 0.4389318745390982 43.6449353220001 
S13-CT_f_12-CD_25-N35 v 118.61431961679965 108.04337406383381 115.95446836055905 10.570945552965838 0.3358783039951361 44.01214457746985 
S13-CT_f_12-CD_25-N35 pv 128.80623274122408 108.45657063421844 113.89558654540684 20.349662107005642 0.8702301512601258 39.622259014058386 
S13-CT_f_13-CD_15-N66 o --undefined-- --undefined-- --undefined-- --undefined-- 0.8723711927118725 35.86303826247192 
S13-CT_f_13-CD_15-N66 co 126.34170408944414 102.04966502886012 117.36678831342016 24.292039060584017 0.32946921143338415 44.341107805025295 
S13-CT_f_13-CD_15-N66 p 286.401259218359 106.7980812049642 114.70673035701934 179.60317801339477 0.48824955429284644 48.547268145556856 
S13-CT_f_13-CD_15-N66 v 286.401259218359 100.51959674719907 119.31727497690956 185.8816624711599 0.45649348572095416 47.16592457193044 
S13-CT_f_14-CD_2-N59 o --undefined-- --undefined-- --undefined-- --undefined-- 1.2363281932536963 26.477224765698363 
S13-CT_f_14-CD_2-N59 co 146.88799211139704 116.10551627750414 122.69269211962883 30.782475833892903 0.2656582535303589 45.08650720833556 
S13-CT_f_14-CD_2-N59 p 116.84897265313315 104.64648701830697 111.18240993907156 12.202485634826175 0.4060776161106916 43.974845420111784 
S13-CT_f_14-CD_2-N59 v 299.7830345091094 106.52980352070395 114.97608112747527 193.25323098840548 0.47438973844706966 45.09314378891506 
S13-CT_f_15-CD_5-N45 o --undefined-- --undefined-- --undefined-- --undefined-- 1.2553675245954072 33.379095722532895 
S13-CT_f_15-CD_5-N45 co 255.77373449482684 107.38439029110516 140.6063370647371 148.3893442037217 0.24277442781641745 45.36120065530738 
S13-CT_f_15-CD_5-N45 p 132.28893269931018 102.31114807584105 111.62681891768713 29.977784623469134 0.43930610747732657 42.59769645905034 
S13-CT_f_15-CD_5-N45 v 118.14318646020931 101.52928903490519 105.06454731473465 16.613897425304117 0.46628104390137315 43.06857274996363 
S13-CT_f_2-CD_11-N78 o 167.81376181552923 73.70720526200513 119.57345599241488 94.1065565535241 0.9721512943076204 37.430135321451445 
S13-CT_f_2-CD_11-N78 co 296.12515293002275 119.10563470192872 153.6240721543844 177.01951822809403 0.2922976057579082 48.90011385413895 
S13-CT_f_2-CD_11-N78 p 266.13964467140084 102.10295839521173 135.10635659028463 164.03668627618913 0.44613845089364923 46.04215828026212 
S13-CT_f_2-CD_11-N78 v 119.80581496821938 105.36492235192841 113.19371164254738 14.440892616290967 0.4461384508936497 45.47005960021816 
S13-CT_f_3-CD_19-N20 o --undefined-- --undefined-- --undefined-- --undefined-- 1.093337884476422 34.44395115157612 
S13-CT_f_3-CD_19-N20 co 127.47012772591351 115.37868980591482 121.4499467108453 12.091437919998697 0.35046867532486026 46.78850562306149 
S13-CT_f_3-CD_19-N20 p 121.4667756886276 107.72627883680885 113.46611785158653 13.740496851818762 0.44003289235232446 45.53287418995349 
S13-CT_f_3-CD_19-N20 v 291.80096654124577 102.87813696976214 131.7616377922194 188.92282957148365 0.2881631330448855 46.351547780342415 
S13-CT_f_3-CD_19-N20 pv 114.73477774598749 103.85604879887494 110.74500378118236 10.878728947112549 0.5140207238097951 47.41837608998852 
